"","title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Day After Tomorrow, The 2004","Day After Tomorrow, The","2004","124","125000000","6.3","23749","PG-13","1","0","0","1","0","0","0"
"Day Without a Mexican, A 2004","Day Without a Mexican, A","2004","100","1500000","5.0","561","R","0","0","1","1","0","0","0"
"De-Lovely 2004","De-Lovely","2004","125",NA,"6.7","2039","PG-13","0","0","0","1","0","1","0"
"Dead & Breakfast 2004","Dead & Breakfast","2004","88",NA,"5.8","135","R","0","0","1","0","0","0","0"
"Dead Babies 2000","Dead Babies","2000","100","1000000","4.3","172","R","0","0","1","0","0","0","0"
"Dead Birds 2004","Dead Birds","2004","91",NA,"5.9","421","R","0","0","0","0","0","0","0"
"Dead Hate the Living!, The 2000","Dead Hate the Living!, The","2000","90","150000","4.3","496","R","0","0","1","0","0","0","0"
"Dead in the Water 2002","Dead in the Water","2002","90",NA,"4.8","225","R","0","0","0","0","0","0","0"
"Dead or Alive: Hanzaisha 1999","Dead or Alive: Hanzaisha","1999","105",NA,"6.9","1260","R","1","0","0","0","0","0","0"
"Deal of a Lifetime 1999","Deal of a Lifetime","1999","94",NA,"4.2","136","PG","0","0","1","0","0","1","0"
"Dear Frankie 2004","Dear Frankie","2004","105",NA,"8.4","880","PG-13","0","0","0","1","0","0","0"
"Death to Smoochy 2002","Death to Smoochy","2002","109","55000000","6.3","8003","R","0","0","1","0","0","0","0"
"Deathwatch 2002","Deathwatch","2002","94",NA,"5.6","1295","R","0","0","0","1","0","0","0"
"Decade Under the Influence, A 2003","Decade Under the Influence, A","2003","108",NA,"7.0","311","R","0","0","0","0","1","0","0"
"Decoys 2004","Decoys","2004","95","5000000","4.2","580","R","0","0","1","0","0","0","0"
"Deep Blue Sea 1999","Deep Blue Sea","1999","105","78000000","5.5","17666","R","1","0","0","0","0","0","0"
"Deep Core 2000","Deep Core","2000","80",NA,"3.3","257","PG-13","1","0","0","1","0","0","0"
"Deep End of the Ocean, The 1999","Deep End of the Ocean, The","1999","106","40000000","5.9","2890","PG-13","0","0","0","1","0","0","0"
"Deep End, The 2001","Deep End, The","2001","101","3000000","6.8","3524","R","0","0","0","1","0","0","0"
"Deliver Us from Eva 2003","Deliver Us from Eva","2003","105",NA,"5.8","786","R","0","0","1","0","0","1","0"
"Delivering Milo 2001","Delivering Milo","2001","94",NA,"4.9","201","PG","0","0","1","0","0","0","0"
"Demon Island 2002","Demon Island","2002","85",NA,"2.7","465","R","0","0","0","0","0","0","0"
"Demonlover 2002","Demonlover","2002","117",NA,"5.6","829","R","0","0","0","1","0","0","0"
"Derailed 2002","Derailed","2002","89","18000000","3.4","1075","R","1","0","0","0","0","0","0"
"Desert Saints 2002","Desert Saints","2002","91",NA,"6.1","554","R","0","0","0","0","0","0","0"
"Desperate But Not Serious 1999","Desperate But Not Serious","1999","94",NA,"3.9","137","R","0","0","1","0","0","0","0"
"Destino 2003","Destino","2003","7","1500000","7.8","156","PG","0","1","0","0","0","0","1"
"Detention 2003","Detention","2003","98","10000000","4.1","223","R","1","0","0","1","0","0","0"
"Detroit Rock City 1999","Detroit Rock City","1999","95","15000000","6.0","4607","R","0","0","1","0","0","0","0"
"Deuce Bigalow: Male Gigolo 1999","Deuce Bigalow: Male Gigolo","1999","88","18000000","5.6","9897","R","0","0","1","0","0","0","0"
"Deuces Wild 2002","Deuces Wild","2002","100","10000000","5.3","1511","R","1","0","0","1","0","0","0"
"Devil's Pond 2003","Devil's Pond","2003","92","5000000","5.6","370","R","0","0","0","1","0","0","0"
"Devil's Prey 2001","Devil's Prey","2001","88",NA,"3.2","237","R","0","0","0","0","0","0","0"
"DiG! 2004","DiG!","2004","107",NA,"8.0","350","R","0","0","0","0","1","0","0"
"Diamond Men 2000","Diamond Men","2000","100",NA,"6.8","511","R","0","0","0","1","0","0","0"
"Diamonds 1999","Diamonds","1999","91",NA,"5.4","407","PG-13","0","0","1","0","0","0","0"
"Diarios de motocicleta 2004","Diarios de motocicleta","2004","128",NA,"8.0","8479","R","0","0","0","1","0","0","0"
"Diary of a Mad Black Woman 2005","Diary of a Mad Black Woman","2005","116","5500000","3.9","837","PG-13","0","0","1","1","0","0","0"
"Diary of a Sex Addict 2001","Diary of a Sex Addict","2001","93",NA,"2.9","333","R","0","0","0","1","0","0","0"
"Dick 1999","Dick","1999","94","13000000","6.3","5004","PG-13","0","0","1","0","0","0","0"
"Dickie Roberts: Former Child Star 2003","Dickie Roberts: Former Child Star","2003","98","17000000","5.5","2076","PG-13","0","0","1","0","0","0","0"
"Die Another Day 2002","Die Another Day","2002","133","142000000","6.4","22136","PG-13","1","0","0","0","0","0","0"
"Die, Mommie, Die 2003","Die, Mommie, Die","2003","90",NA,"6.2","538","R","0","0","1","0","0","0","0"
"Different Loyalty, A 2004","Different Loyalty, A","2004","96","13000000","5.0","135","R","0","0","0","1","0","1","0"
"Digimon: The Movie 2000","Digimon: The Movie","2000","82","5000000","3.4","455","PG","1","1","0","0","0","0","0"
"Dill Scallion 1999","Dill Scallion","1999","91","500000","5.1","136","PG-13","0","0","1","0","0","0","0"
"Dinner Rush 2000","Dinner Rush","2000","99",NA,"7.3","1231","R","0","0","0","1","0","0","0"
"Dinosaur 2000","Dinosaur","2000","82","127500000","6.3","5839","PG","0","1","0","0","0","0","0"
"Diplomatic Siege 1999","Diplomatic Siege","1999","96","45000000","3.5","340","R","1","0","0","0","0","0","0"
"Dirty Dancing: Havana Nights 2004","Dirty Dancing: Havana Nights","2004","86",NA,"5.4","1667","PG-13","0","0","0","1","0","1","0"
"Dirty Deeds 2002","Dirty Deeds","2002","97",NA,"6.2","761","R","0","0","1","0","0","0","0"
"Dirty Pretty Things 2002","Dirty Pretty Things","2002","97","10000000","7.6","6274","R","0","0","0","1","0","0","0"
"Dirty Shame, A 2004","Dirty Shame, A","2004","89",NA,"6.1","472","R","0","0","1","0","0","0","0"
"Dish, The 2000","Dish, The","2000","97",NA,"7.3","4629","PG-13","0","0","1","0","0","0","0"
"Divine Secrets of the Ya-Ya Sisterhood 2002","Divine Secrets of the Ya-Ya Sisterhood","2002","116","27000000","5.5","4288","PG-13","0","0","1","1","0","0","0"
"Divorce, Le 2003","Divorce, Le","2003","117",NA,"4.9","2314","PG-13","0","0","1","1","0","1","0"
"Do Not Disturb 1999","Do Not Disturb","1999","94",NA,"4.7","678","R","1","0","1","0","0","0","0"
"Do You Wanna Know a Secret? 2001","Do You Wanna Know a Secret?","2001","90",NA,"2.8","205","R","0","0","0","0","0","0","0"
"Doctor Sleep 2002","Doctor Sleep","2002","108","10000000","6.2","609","R","0","0","0","0","0","0","0"
"Dodgeball: A True Underdog Story 2004","Dodgeball: A True Underdog Story","2004","92","20000000","6.6","14584","PG-13","0","0","1","0","0","0","0"
"Dog Soldiers 2002","Dog Soldiers","2002","104",NA,"6.8","5782","R","1","0","0","0","0","0","0"
"Dog of Flanders, A 1999","Dog of Flanders, A","1999","100","7000000","6.0","179","PG","0","0","0","1","0","0","0"
"Dogma 1999","Dogma","1999","130","10000000","7.3","43391","R","0","0","1","0","0","0","0"
"Dogtown and Z-Boys 2001","Dogtown and Z-Boys","2001","91",NA,"7.4","1555","PG-13","0","0","0","0","1","0","0"
"Dogville 2003","Dogville","2003","135",NA,"8.0","14307","R","0","0","0","1","0","0","0"
"Dom durakov 2002","Dom durakov","2002","104","2500000","6.8","382","R","0","0","0","1","0","0","0"
"Domestic Disturbance 2001","Domestic Disturbance","2001","91","53000000","5.4","4445","PG-13","0","0","0","1","0","0","0"
"Don't Say a Word 2001","Don't Say a Word","2001","113","50000000","6.2","10098","R","0","0","0","1","0","0","0"
"Donnie Darko 2001","Donnie Darko","2001","133","4500000","8.3","51961","R","0","0","0","1","0","0","0"
"Door in the Floor, The 2004","Door in the Floor, The","2004","111",NA,"6.9","1947","R","0","0","0","1","0","0","0"
"Doorway, The 2000","Doorway, The","2000","90",NA,"4.0","118","R","0","0","0","0","0","0","0"
"Dopamine 2003","Dopamine","2003","85",NA,"5.2","355","R","0","0","1","1","0","1","0"
"Dot the I 2003","Dot the I","2003","92",NA,"6.7","617","R","0","0","0","1","0","1","0"
"Double Bang 2001","Double Bang","2001","104",NA,"5.2","135","R","1","0","0","0","0","0","0"
"Double Jeopardy 1999","Double Jeopardy","1999","105","40000000","5.9","13587","R","0","0","0","1","0","0","0"
"Double Take 2001","Double Take","2001","91","24000000","4.8","1503","PG-13","1","0","1","0","0","0","0"
"Double Whammy 2001","Double Whammy","2001","100","4000000","5.6","886","R","0","0","1","1","0","0","0"
"Down to Earth 2001","Down to Earth","2001","87","30000000","5.1","3720","PG-13","0","0","1","0","0","1","0"
"Down to You 2000","Down to You","2000","91","9000000","4.7","3232","PG-13","0","0","1","1","0","1","0"
"Down with Love 2003","Down with Love","2003","101",NA,"6.5","7426","PG-13","0","0","1","0","0","1","0"
"Dr T and the Women 2000","Dr T and the Women","2000","122","12000000","4.8","4776","R","0","0","1","1","0","1","0"
"Dr. Dolittle 2 2001","Dr. Dolittle 2","2001","87","72000000","5.1","4920","PG","0","0","1","0","0","0","0"
"Dracula 2000 2000","Dracula 2000","2000","99","28000000","4.9","5364","R","0","0","0","0","0","0","0"
"Dracula 3000 2004","Dracula 3000","2004","86",NA,"1.8","392","R","0","0","0","0","0","0","0"
"Dracula II: Ascension 2003","Dracula II: Ascension","2003","85",NA,"4.2","537","R","0","0","0","0","0","0","0"
"Dragonfly 2002","Dragonfly","2002","104","60000000","5.8","5431","PG-13","0","0","0","1","0","0","0"
"Dreamcatcher 2003","Dreamcatcher","2003","134","68000000","5.2","10403","R","0","0","0","0","0","0","0"
"Dreamers, The 2003","Dreamers, The","2003","112",NA,"7.0","4936","R","0","0","0","1","0","0","0"
"Dreaming of Joseph Lees 1999","Dreaming of Joseph Lees","1999","92",NA,"5.1","257","R","0","0","0","1","0","1","0"
"Drive Me Crazy 1999","Drive Me Crazy","1999","91","8000000","5.1","2934","PG-13","0","0","1","1","0","1","0"
"Driven 2001","Driven","2001","116","72000000","4.4","7129","PG-13","1","0","0","1","0","0","0"
"Drop Dead Roses 2001","Drop Dead Roses","2001","93",NA,"2.0","118","R","0","0","0","0","0","0","0"
"Drowning Mona 2000","Drowning Mona","2000","95","16000000","5.4","3454","PG-13","0","0","1","0","0","0","0"
"Drumline 2002","Drumline","2002","118","20000000","5.3","7368","PG-13","0","0","1","1","0","1","0"
"Duct Tape Forever 2002","Duct Tape Forever","2002","90",NA,"5.7","216","PG","0","0","1","0","0","0","0"
"Dude, Where's My Car? 2000","Dude, Where's My Car?","2000","83","13000000","4.6","13330","PG-13","0","0","1","0","0","0","0"
"Dudley Do-Right 1999","Dudley Do-Right","1999","77","22000000","3.6","1790","PG","0","0","1","0","0","0","0"
"Duets 2000","Duets","2000","112","15000000","5.8","2414","R","0","0","1","1","0","0","0"
"Dumb and Dumberer: When Harry Met Lloyd 2003","Dumb and Dumberer: When Harry Met Lloyd","2003","85","19000000","3.3","4689","PG-13","0","0","1","0","0","0","0"
"Dummy 2002","Dummy","2002","90",NA,"6.8","1022","R","0","0","1","1","0","1","0"
"Dungeons & Dragons 2000","Dungeons & Dragons","2000","107","35000000","4.0","7435","PG-13","1","0","0","0","0","0","0"
"Duplex 2003","Duplex","2003","89","40000000","5.7","4334","PG-13","0","0","1","0","0","0","0"
"DysFunktional Family 2003","DysFunktional Family","2003","89","3000000","5.6","207","R","0","0","1","0","1","0","0"
"Easy 2003","Easy","2003","99",NA,"4.2","204","R","0","0","1","1","0","1","0"
"Eden Myth, The 1999","Eden Myth, The","1999","88",NA,"6.4","158","R","0","0","0","1","0","0","0"
"Edge of Madness 2002","Edge of Madness","2002","99",NA,"6.4","106","R","0","0","0","1","0","0","0"
"Edges of the Lord 2001","Edges of the Lord","2001","95","7500000","7.0","639","R","0","0","0","1","0","0","0"
"Edtv 1999","Edtv","1999","122","60000000","6.2","10085","PG-13","0","0","1","0","0","0","0"
"Eight Crazy Nights 2002","Eight Crazy Nights","2002","76",NA,"4.5","2074","PG-13","0","1","1","0","0","0","0"
"Eight Legged Freaks 2002","Eight Legged Freaks","2002","99","30000000","5.5","6362","PG-13","1","0","1","0","0","0","0"
"Election 1999","Election","1999","103","8500000","7.4","17521","R","0","0","1","0","0","0","0"
"Elektra 2005","Elektra","2005","96","43000000","4.9","5120","PG-13","1","0","0","0","0","0","0"
"Elephant 2003","Elephant","2003","81","3000000","7.3","9203","R","0","0","0","1","0","0","0"
"Elf 2003","Elf","2003","95","33000000","7.0","10165","PG","0","0","1","0","0","0","0"
"Ella Enchanted 2004","Ella Enchanted","2004","96","35000000","6.5","2502","PG","0","0","1","0","0","1","0"
"Elling 2001","Elling","2001","89",NA,"7.6","3014","R","0","0","1","1","0","0","0"
"Elsker dig for evigt 2002","Elsker dig for evigt","2002","113",NA,"7.7","1068","R","0","0","0","1","0","0","0"
"Elvira's Haunted Hills 2001","Elvira's Haunted Hills","2001","90","1500000","5.2","307","PG-13","0","0","1","0","0","0","0"
"Emile 2003","Emile","2003","92",NA,"6.1","119","R","0","0","0","1","0","0","0"
"Emmett's Mark 2002","Emmett's Mark","2002","104","4500000","6.2","427","R","0","0","0","1","0","0","0"
"Emperor's Club, The 2002","Emperor's Club, The","2002","109","12500000","6.7","3056","PG-13","0","0","0","1","0","0","0"
"Emperor's New Clothes, The 2001","Emperor's New Clothes, The","2001","107",NA,"7.1","680","PG","0","0","1","0","0","0","0"
"Empire 2002","Empire","2002","90","3500000","6.0","1718","R","1","0","0","1","0","0","0"
"Emploi du temps, L' 2001","Emploi du temps, L'","2001","134",NA,"7.2","1090","PG-13","0","0","0","1","0","0","0"
"Employee of the Month 2004","Employee of the Month","2004","97",NA,"5.9","870","R","0","0","1","1","0","0","0"
"End of Days 1999","End of Days","1999","121","83000000","5.3","18237","R","1","0","0","0","0","0","0"
"End of the Affair, The 1999","End of the Affair, The","1999","102","23000000","7.0","4808","R","0","0","0","1","0","1","0"
"Enduring Love 2004","Enduring Love","2004","101",NA,"6.5","559","R","0","0","0","1","0","0","0"
"Enemy at the Gates 2001","Enemy at the Gates","2001","131","70000000","7.3","19169","R","1","0","0","1","0","1","0"
"Enigma 2001","Enigma","2001","119",NA,"6.7","4291","R","0","0","0","1","0","1","0"
"Enough 2002","Enough","2002","115","38000000","4.9","4339","PG-13","0","0","0","1","0","0","0"
"Entrapment 1999","Entrapment","1999","113","66000000","6.1","18543","PG-13","0","0","1","0","0","1","0"
"Envy 2004","Envy","2004","99","40000000","4.3","3417","PG-13","0","0","1","0","0","0","0"
"Epicenter 2000","Epicenter","2000","99",NA,"4.0","204","R","1","0","0","0","0","0","0"
"Equilibrium 2002","Equilibrium","2002","107","20000000","7.6","17579","R","1","0","0","0","0","0","0"
"Era of Vampire, The 2002","Era of Vampire, The","2002","90","1000000","4.2","329","R","1","0","0","0","0","0","0"
"Erin Brockovich 2000","Erin Brockovich","2000","130","51000000","7.3","24301","R","0","0","0","1","0","0","0"
"Eros 2004","Eros","2004","104",NA,"5.4","139","R","0","0","0","1","0","0","0"
"Escanaba in da Moonlight 2001","Escanaba in da Moonlight","2001","91","1000000","5.5","373","PG-13","0","0","1","0","0","0","0"
"Espinazo del diablo, El 2001","Espinazo del diablo, El","2001","108","4500000","7.4","3474","R","0","0","0","1","0","0","0"
"Essex Boys 2000","Essex Boys","2000","102",NA,"5.4","410","R","0","0","0","0","0","0","0"
"Est - Ouest 1999","Est - Ouest","1999","121",NA,"7.2","1266","PG-13","0","0","0","1","0","1","0"
"Eternal Sunshine of the Spotless Mind 2004","Eternal Sunshine of the Spotless Mind","2004","108","20000000","8.6","46240","R","0","0","1","1","0","1","0"
"Eu Tu Eles 2000","Eu Tu Eles","2000","104",NA,"7.0","535","PG-13","0","0","1","1","0","1","0"
"Eulogy 2004","Eulogy","2004","91","10000000","6.5","773","R","0","0","1","1","0","0","0"
"EuroTrip 2004","EuroTrip","2004","90","25000000","6.1","8390","R","0","0","1","0","0","0","0"
"Evelyn 2002","Evelyn","2002","94","10000000","7.1","1163","PG","0","0","0","1","0","0","0"
"EvenHand 2002","EvenHand","2002","92","500000","7.3","169","R","0","0","0","1","0","0","0"
"Event, The 2003","Event, The","2003","110",NA,"6.0","276","R","0","0","0","1","0","0","0"
"Everlasting Piece, An 2000","Everlasting Piece, An","2000","103","14000000","6.1","475","R","0","0","1","0","0","0","0"
"Everybody Loves Sunshine 1999","Everybody Loves Sunshine","1999","97",NA,"4.6","171","R","0","0","0","1","0","0","0"
"Everything Put Together 2000","Everything Put Together","2000","87","500000","7.1","151","R","0","0","0","1","0","0","0"
"Evil Alien Conquerors 2002","Evil Alien Conquerors","2002","89","500000","3.8","111","PG-13","0","0","1","0","0","0","0"
"Evolution 2001","Evolution","2001","101","80000000","5.8","14232","PG-13","0","0","1","0","0","0","0"
"Excellent Cadavers 1999","Excellent Cadavers","1999","106",NA,"6.2","210","R","0","0","0","1","0","0","0"
"Exit Wounds 2001","Exit Wounds","2001","101","33000000","5.3","5370","R","1","0","0","0","0","0","0"
"Exorcist: The Beginning 2004","Exorcist: The Beginning","2004","114","30000000","5.0","4130","R","1","0","0","0","0","0","0"
"Experiment, Das 2001","Experiment, Das","2001","119",NA,"7.8","6601","R","0","0","0","1","0","0","0"
"Extramarital 1999","Extramarital","1999","90",NA,"4.6","107","R","0","0","0","1","0","0","0"
"Extreme Days 2001","Extreme Days","2001","93",NA,"4.8","342","PG","1","0","1","1","0","0","0"
"Extreme Ops 2002","Extreme Ops","2002","94","40000000","4.0","1337","PG-13","1","0","0","0","0","0","0"
"Eye of the Beholder 1999","Eye of the Beholder","1999","109","15000000","4.5","5549","R","0","0","0","0","0","0","0"
"Eyes Wide Shut 1999","Eyes Wide Shut","1999","159","65000000","7.0","37868","R","0","0","0","1","0","0","0"
"Eyes of Tammy Faye, The 2000","Eyes of Tammy Faye, The","2000","79",NA,"7.4","424","PG-13","0","0","0","0","1","0","0"
"Fa yeung nin wa 2000","Fa yeung nin wa","2000","94",NA,"8.0","7380","PG","0","0","0","1","0","1","0"
"Fade to Black 2004","Fade to Black","2004","109",NA,"4.5","110","R","0","0","0","0","1","0","0"
"Fahrenheit 9/11 2004","Fahrenheit 9/11","2004","122","6000000","7.9","34666","R","0","0","0","0","1","0","0"
"Falcon Down 2000","Falcon Down","2000","93",NA,"4.4","112","R","1","0","0","0","0","0","0"
"Family Man, The 2000","Family Man, The","2000","125","60000000","6.5","11220","PG-13","0","0","1","1","0","1","0"
"Famous 2000","Famous","2000","90",NA,"6.1","252","PG-13","0","0","1","1","0","0","0"
"Fangs 2001","Fangs","2001","94",NA,"3.0","170","PG-13","0","0","0","0","0","0","0"
"Fantasticks, The 2000","Fantasticks, The","2000","86",NA,"5.8","420","PG","0","0","0","0","0","0","0"
"Far from Heaven 2002","Far from Heaven","2002","107","13500000","7.7","9167","PG-13","0","0","0","1","0","1","0"
"Fascination 2004","Fascination","2004","95","5000000","3.3","124","R","0","0","0","1","0","1","0"
"Fast Food Fast Women 2000","Fast Food Fast Women","2000","95",NA,"6.4","801","R","0","0","1","0","0","1","0"
"Fast Sofa 2001","Fast Sofa","2001","109",NA,"4.0","182","R","0","0","0","0","0","0","0"
"Fast and the Furious, The 2001","Fast and the Furious, The","2001","106","38000000","5.7","21428","PG-13","1","0","0","0","0","0","0"
"Fat Albert 2004","Fat Albert","2004","93",NA,"4.2","1062","PG","0","0","1","0","0","0","0"
"Fate ignoranti, Le 2001","Fate ignoranti, Le","2001","109",NA,"7.4","1216","R","0","0","0","1","0","0","0"
"Faust: Love of the Damned 2001","Faust: Love of the Damned","2001","101","6000000","4.1","628","R","0","0","0","0","0","0","0"
"Fear X 2003","Fear X","2003","91","6600000","5.9","742","PG-13","0","0","0","0","0","0","0"
"Fear of Flying 2000","Fear of Flying","2000","96",NA,"4.6","612","R","1","0","0","0","0","0","0"
"Fear of the Dark 2002","Fear of the Dark","2002","86",NA,"5.5","355","PG-13","0","0","0","0","0","0","0"
"Fear: Resurrection, The 1999","Fear: Resurrection, The","1999","97",NA,"2.8","165","R","0","0","0","0","0","0","0"
"FearDotCom 2002","FearDotCom","2002","101","42000000","3.2","5126","R","0","0","0","0","0","0","0"
"Felicia's Journey 1999","Felicia's Journey","1999","116",NA,"7.0","2519","PG-13","0","0","0","1","0","0","0"
"Femme Fatale 2002","Femme Fatale","2002","114","35000000","6.4","6083","R","0","0","0","0","0","0","0"
"Festival Express 2003","Festival Express","2003","90",NA,"7.3","305","R","0","0","0","0","1","0","0"
"Festival in Cannes 2001","Festival in Cannes","2001","100",NA,"6.4","207","PG-13","0","0","1","0","0","0","0"
"Fetten Jahre sind vorbei, Die 2004","Fetten Jahre sind vorbei, Die","2004","127",NA,"7.9","1238","R","0","0","1","1","0","1","0"
"Fever 1999","Fever","1999","95","6000000","5.7","248","R","0","0","0","0","0","0","0"
"Fever Pitch 2005","Fever Pitch","2005","98","39690000","6.6","1712","PG-13","0","0","1","0","0","1","0"
"Fight Club 1999","Fight Club","1999","139","63000000","8.5","112092","R","0","0","0","1","0","0","0"
"Fighting Temptations, The 2003","Fighting Temptations, The","2003","123",NA,"5.2","1013","PG-13","0","0","1","0","0","0","0"
"Fille sur le pont, La 1999","Fille sur le pont, La","1999","90",NA,"7.4","2283","R","0","0","0","1","0","1","0"
"Filth and the Fury, The 2000","Filth and the Fury, The","2000","108",NA,"7.4","1172","R","0","0","0","0","1","0","0"
"Final 2001","Final","2001","111","80000","5.2","330","R","0","0","0","1","0","0","0"
"Final Cut, The 2004","Final Cut, The","2004","105",NA,"6.2","1840","PG-13","0","0","0","0","0","0","0"
"Final Destination 2000","Final Destination","2000","98","23000000","6.6","16504","R","0","0","0","0","0","0","0"
"Final Destination 2 2003","Final Destination 2","2003","90","26000000","6.3","8481","R","0","0","0","0","0","0","0"
"Final Fantasy: The Spirits Within 2001","Final Fantasy: The Spirits Within","2001","106","137000000","6.5","16451","PG-13","1","1","0","0","0","0","0"
"Final Voyage 1999","Final Voyage","1999","93",NA,"3.1","204","R","1","0","0","1","0","0","0"
"Finder's Fee 2001","Finder's Fee","2001","100",NA,"5.9","330","R","0","0","0","1","0","0","0"
"Finding Forrester 2000","Finding Forrester","2000","136","43000000","7.3","13439","PG-13","0","0","0","1","0","0","0"
"Finding Neverland 2004","Finding Neverland","2004","106",NA,"8.1","17715","PG","0","0","0","1","0","0","0"
"Finestra di fronte, La 2003","Finestra di fronte, La","2003","106",NA,"7.6","1225","R","0","0","0","1","0","1","0"
"Firetrap 2001","Firetrap","2001","97",NA,"5.1","183","R","0","0","0","0","0","0","0"
"First $20 Million Is Always the Hardest, The 2002","First $20 Million Is Always the Hardest, The","2002","105",NA,"5.2","563","PG-13","0","0","1","0","0","0","0"
"Five Aces 1999","Five Aces","1999","95",NA,"4.4","172","R","0","0","1","1","0","0","0"
"Five Senses, The 1999","Five Senses, The","1999","106",NA,"6.9","1201","R","0","0","0","1","0","0","0"
"Flawless 1999","Flawless","1999","112","27000000","6.1","3287","R","0","0","1","1","0","0","0"
"Flesh for the Beast 2003","Flesh for the Beast","2003","85",NA,"3.8","136","R","0","0","0","0","0","0","0"
"Fleur du mal, La 2003","Fleur du mal, La","2003","101",NA,"6.5","501","R","0","0","0","1","0","0","0"
"Flight of the Phoenix 2004","Flight of the Phoenix","2004","113","45000000","6.0","2732","PG-13","1","0","0","0","0","0","0"
"Flintstones in Viva Rock Vegas, The 2000","Flintstones in Viva Rock Vegas, The","2000","90","58000000","3.7","1712","PG","0","0","1","0","0","0","0"
"Flying Virus 2001","Flying Virus","2001","95",NA,"3.5","179","R","1","0","0","0","0","0","0"
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The 2003","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The","2003","107",NA,"8.4","3416","PG-13","0","0","0","0","1","0","0"
"Fond Kiss..., Ae 2004","Fond Kiss..., Ae","2004","104",NA,"7.3","740","R","0","0","0","1","0","0","0"
"Food of Love 2002","Food of Love","2002","112",NA,"6.4","262","R","0","0","0","1","0","0","0"
"Foolish 1999","Foolish","1999","97",NA,"3.0","133","R","0","0","1","1","0","0","0"
"Foolproof 2003","Foolproof","2003","94",NA,"6.6","845","R","1","0","0","0","0","0","0"
"For Love of the Game 1999","For Love of the Game","1999","137","50000000","6.1","5782","PG-13","0","0","0","1","0","1","0"
"For the Cause 2000","For the Cause","2000","91",NA,"2.8","183","R","0","0","0","0","0","0","0"
"Forces of Nature 1999","Forces of Nature","1999","105",NA,"5.3","7285","PG-13","0","0","1","0","0","1","0"
"Foreign Affair, A 2003","Foreign Affair, A","2003","94",NA,"6.3","234","PG-13","0","0","1","1","0","0","0"
"Foreign Correspondents 1999","Foreign Correspondents","1999","102","500000","7.6","117","PG-13","0","0","0","1","0","1","0"
"Foreigner, The 2003","Foreigner, The","2003","96","20000000","3.1","904","R","1","0","0","0","0","0","0"
"Forever Lulu 2000","Forever Lulu","2000","99","20000000","5.5","257","R","0","0","1","0","0","1","0"
"Forever Mine 1999","Forever Mine","1999","113",NA,"5.1","484","R","0","0","0","1","0","1","0"
"Forgotten, The 2004","Forgotten, The","2004","94","42000000","5.8","8234","PG-13","0","0","0","1","0","0","0"
"Forsaken, The 2001","Forsaken, The","2001","90","5000000","5.1","1928","R","0","0","0","0","0","0","0"
"Fortress 2 1999","Fortress 2","1999","92","11000000","4.2","1027","R","1","0","0","0","0","0","0"
"Four Dogs Playing Poker 2000","Four Dogs Playing Poker","2000","97",NA,"5.7","496","R","0","0","0","0","0","0","0"
"Four Feathers, The 2002","Four Feathers, The","2002","125","80000000","6.2","4400","PG-13","0","0","0","1","0","0","0"
"Fourth Angel, The 2001","Fourth Angel, The","2001","95",NA,"5.4","597","R","1","0","0","1","0","0","0"
"Frailty 2001","Frailty","2001","100","11000000","7.4","10551","R","0","0","0","1","0","0","0"
"Frankenfish 2004","Frankenfish","2004","84","3000000","4.6","309","R","1","0","1","0","0","0","0"
"Freak Talks About Sex 1999","Freak Talks About Sex","1999","90",NA,"5.6","249","R","0","0","1","0","0","0","0"
"Freaky Friday 2003","Freaky Friday","2003","97","26000000","6.9","8052","PG","0","0","1","1","0","0","0"
"Freddy Got Fingered 2001","Freddy Got Fingered","2001","87","15000000","3.5","9115","R","0","0","1","0","0","0","0"
"Freddy Vs. Jason 2003","Freddy Vs. Jason","2003","97","25000000","6.1","11109","R","1","0","0","0","0","0","0"
"Freeway II: Confessions of a Trickbaby 1999","Freeway II: Confessions of a Trickbaby","1999","90","2000000","4.6","666","R","0","0","0","1","0","0","0"
"Freeze Frame 2004","Freeze Frame","2004","99","2000000","5.8","189","R","0","0","0","1","0","0","0"
"Frequency 2000","Frequency","2000","118","31000000","7.4","15317","PG-13","0","0","0","1","0","0","0"
"Frida 2002","Frida","2002","123","12000000","7.5","8614","R","0","0","0","1","0","0","0"
"Friday After Next 2002","Friday After Next","2002","85","20000000","4.9","1659","R","0","0","1","0","0","0","0"
"Friday Night Date, A 2000","Friday Night Date, A","2000","96",NA,"2.3","283","R","1","0","0","1","0","0","0"
"Friday Night Lights 2004","Friday Night Lights","2004","117","30000000","7.0","4290","PG-13","0","0","0","1","0","0","0"
"Friends & Lovers 1999","Friends & Lovers","1999","103",NA,"3.9","397","R","0","0","1","1","0","1","0"
"Frightening, The 2002","Frightening, The","2002","85",NA,"3.4","112","R","0","0","0","0","0","0","0"
"From Hell 2001","From Hell","2001","122","35000000","6.8","17292","R","0","0","0","0","0","0","0"
"From Justin to Kelly 2003","From Justin to Kelly","2003","90","12000000","1.7","6517","PG","0","0","1","0","0","1","0"
"Frost: Portrait of a Vampire 2001","Frost: Portrait of a Vampire","2001","92",NA,"2.5","118","R","0","0","0","0","0","0","0"
